v1,v2,v3,v4,v5,v6_1,v6_2,v6_3,v6_4,v6_5,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31_1,v31_2,v31_3,v32_1,v32_2,v32_3,v33,v34,v35,v36,v37,v38,v39,v40,v41,v42,v43,v44,v45,wei,wei2,area1,area2,area3,area4,area5,area6,area7
9,369,50,7,1,1,2,3,99,99,1,2,2,2,2,2,2,2,2,2,2,1,1,2,1,2,2,2,2,1,2,2,2,2,1,99,99,6,1,99,2,8,7,99,2,4,20,99,999,99,99,1,2,.7178,.40850106,4,2,3,3,1,4,5
21,894,43,8,1,96,99,99,99,99,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,97,2,1,2,2,2,2,1,99,99,3,1,99,3,7,7,99,4,3,20,99,999,99,99,3,2,.3361,.0534010652,5,5,3,3,3,9,8
18,202,53,7,1,1,2,3,4,99,1,1,2,2,2,2,2,2,1,2,1,1,1,2,2,1,2,97,2,1,2,2,1,2,1,99,99,2,1,96,1,7,3,99,4,4,20,99,999,99,99,3,2,1.0524,.4155010697,2,1,2,3,3,9,2
8,302,998,8,1,1,99,99,99,99,1,4,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,97,2,1,2,2,2,2,1,99,99,6,1,99,3,8,3,99,4,3,20,99,999,99,99,1,2,.6096,.3731011476,3,1,1,3,1,3,3
8,998,998,8,1,1,2,3,99,99,1,2,2,1,2,2,2,2,1,1,2,1,1,2,1,2,2,97,2,1,2,2,2,2,97,99,99,6,1,99,2,8,6,99,4,5,20,99,999,99,99,1,2,.6096,.3731012248,6,1,8,8,8,10,9
17,955,44,8,1,1,99,99,99,99,1,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,97,2,1,1,2,2,2,1,99,99,6,1,99,3,98,0,99,4,4,20,99,999,99,99,1,2,.4216,.0956012281,5,4,4,2,1,2,5
21,892,45,8,1,1,99,99,99,99,1,2,2,2,2,2,2,2,2,2,2,1,2,2,1,2,2,97,2,1,2,2,2,2,1,99,99,10,1,99,2,98,0,99,4,3,20,99,999,99,99,3,1,14.9023,2.3665015042,5,5,2,3,3,9,8
20,601,97,2,1,1,2,3,99,99,1,1,1,2,2,2,1,1,2,2,2,1,2,2,1,1,2,97,2,1,2,2,2,2,1,99,99,6,1,99,3,8,5,2,2,5,21,99,999,99,99,3,1,1.3773,.3873001712,2,3,1,3,3,9,2
14,900,85,3,1,1,2,3,99,99,1,1,2,2,1,2,2,2,2,1,1,1,1,1,1,1,2,97,1,1,1,2,2,2,1,99,99,2,1,99,2,7,8,99,4,8,21,99,999,99,99,3,2,1.0034,.8643003836,3,3,2,3,2,1,2
21,893,100,1,1,1,2,3,5,99,1,1,1,2,2,2,2,1,1,2,2,1,1,1,1,1,2,97,2,1,1,2,2,2,1,2,99,6,1,99,3,8,8,2,4,4,21,99,999,99,99,3,2,.5991,.0951004693,4,5,2,3,3,9,8
