v1,v2,v3,v4,v5,v6_1,v6_2,v6_3,v6_4,v7,v8_1,v8_2,v8_3,v8_4,v8_5,v8_6,v9,v10,v11,v12_1,v12_2,v13_1,v13_2,v13_3,v14_1,v14_2,v14_3,v14_4,v14_5,v15,v16,v17,v18_1,v18_2,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,wei
2,105,50,7,1,97,99,99,99,1,2,1,4,99,99,99,10,10,10,1,2,1,2,3,1,3,99,99,99,2,2,1,1,2,365,2,98,1,3,3,3,3,98,1,0,98,8,4,7,2,.766033
6,830,88,3,1,3,99,99,99,1,4,2,99,99,99,99,9,9,8,1,99,1,3,99,1,2,3,99,99,1,1,2,99,99,999,2,9,8,8,8,8,8,9,9,9,8,8,4,5,2,1.270514
5,723,68,5,1,1,3,4,99,1,4,1,2,3,99,99,8,8,6,1,2,1,2,99,1,3,99,99,99,1,1,2,99,99,999,2,6,5,0,0,8,6,6,6,3,5,5,4,7,1,1.022108
4,434,90,3,1,3,4,99,99,1,4,1,2,99,99,99,7,8,8,2,99,3,99,99,1,3,99,99,99,1,1,2,99,99,999,2,7,6,5,7,5,8,5,6,7,6,9,4,7,1,1.329976
5,710,51,7,1,97,99,99,99,1,4,99,99,99,99,99,0,2,1,97,99,97,99,99,1,99,99,99,99,1,1,2,99,99,999,2,4,3,3,2,3,1,5,5,6,3,1,1,3,2,.808463
3,328,82,4,1,4,99,99,99,1,1,2,4,99,99,99,8,7,9,1,2,1,2,99,1,3,99,99,99,1,1,2,99,99,999,2,9,9,10,8,9,8,9,8,8,9,9,4,8,1,1.191729
2,106,69,5,1,3,4,99,99,1,4,2,99,99,99,99,8,8,8,2,99,97,99,99,1,99,99,99,99,1,2,2,99,99,999,2,98,98,98,7,8,98,98,98,8,0,98,4,98,2,.951292
3,330,70,5,1,4,99,99,99,1,4,99,99,99,99,99,8,7,8,1,2,1,2,3,1,2,3,99,99,1,2,2,99,99,999,2,6,6,4,8,5,4,3,7,9,4,7,4,5,1,1.03665
2,116,41,9,1,2,3,99,99,1,4,3,99,99,99,99,0,8,5,2,99,97,99,99,1,99,99,99,99,1,1,2,99,99,999,2,5,98,98,98,9,98,98,98,98,98,7,4,4,2,.770515
11,551,47,8,1,1,99,99,99,1,4,99,99,99,99,99,98,98,98,97,99,97,99,99,1,3,5,99,99,1,1,2,99,99,999,2,5,98,6,6,6,5,6,7,6,5,5,4,5,2,.827687
1,220,40,9,1,4,99,99,99,1,4,99,99,99,99,99,0,5,5,1,2,1,3,99,1,3,99,99,99,1,98,2,99,99,999,2,3,3,3,4,3,3,3,4,4,3,3,4,1,2,.681671
20,601,83,4,1,1,2,3,4,1,1,2,4,99,99,99,10,10,10,1,2,2,99,99,1,99,99,99,99,1,1,2,99,99,999,2,8,8,8,7,8,5,5,3,5,8,8,2,7,1,.738045
1,251,76,4,1,1,4,99,99,1,4,99,99,99,99,99,8,5,6,2,99,2,3,99,1,3,4,99,99,1,2,2,99,99,999,2,7,8,8,6,6,8,7,7,6,9,7,2,7,1,.984658
1,234,998,6,1,98,99,99,99,1,4,99,99,99,99,99,0,0,2,2,99,97,99,99,1,3,5,99,99,1,1,2,99,99,999,2,4,5,4,3,2,1,2,2,5,2,2,1,7,1,.892427
7,269,65,5,1,1,2,3,4,1,4,3,99,99,99,99,10,10,10,2,99,97,99,99,1,2,3,5,99,1,1,2,99,99,999,1,7,9,8,6,8,7,7,5,8,6,10,2,7,1,1.095714
2,112,84,3,1,2,3,4,99,1,4,2,99,99,99,99,8,8,7,2,99,3,99,99,1,3,99,99,99,2,1,2,99,99,999,1,7,7,8,7,6,7,8,7,7,7,5,4,8,1,1.35627
4,421,86,3,1,97,99,99,99,1,4,1,99,99,99,99,5,5,5,2,99,97,99,99,1,99,99,99,99,1,2,2,99,99,999,2,5,6,6,6,6,6,6,6,6,6,7,4,5,2,1.207068
3,325,70,5,1,1,2,3,4,1,4,3,1,2,99,99,8,8,8,1,2,1,2,99,1,2,3,99,99,1,1,2,99,99,999,2,6,7,6,5,7,7,7,7,6,7,7,4,6,2,1.102188
6,813,48,8,1,4,99,99,99,1,4,99,99,99,99,99,10,6,8,1,2,97,99,99,1,2,3,4,99,2,1,2,99,99,999,2,3,3,3,5,7,5,3,9,9,7,9,4,5,1,.689838
1,235,77,4,1,1,2,4,99,1,4,1,2,3,99,99,9,8,8,1,2,1,3,99,1,3,99,99,99,1,98,2,99,99,999,2,5,7,6,3,5,3,6,5,5,5,8,4,8,1,.984658
3,330,73,5,1,1,99,99,99,1,4,2,99,99,99,99,8,8,6,1,2,97,99,99,1,3,99,99,99,1,1,1,2,99,6,2,0,0,0,0,0,0,0,0,0,0,0,4,6,1,1.03665
8,310,82,4,1,97,99,99,99,1,4,1,99,99,99,99,10,10,10,2,99,97,99,99,1,3,99,99,99,1,2,2,99,99,999,1,7,10,10,10,10,7,10,10,7,10,10,4,6,2,.903284
6,830,80,4,1,1,99,99,99,1,4,3,99,99,99,99,9,8,8,1,2,1,3,99,1,3,99,99,99,1,2,2,99,99,999,2,8,10,9,9,9,9,8,8,8,7,9,2,6,2,1.128582
4,402,70,5,1,4,99,99,99,1,4,1,96,99,99,99,8,8,7,1,2,2,3,99,1,3,99,99,99,1,1,2,99,99,999,2,7,8,7,7,9,9,8,7,8,7,7,4,8,2,1.009658
9,351,49,7,1,4,99,99,99,1,4,1,2,99,99,99,10,10,10,1,2,1,2,3,1,3,5,99,99,1,2,1,1,99,1,1,2,3,4,7,10,98,10,10,0,98,1,4,6,2,.887148
2,108,61,6,1,1,4,99,99,1,4,96,99,99,99,99,5,6,8,1,2,1,2,3,1,2,3,4,99,1,1,2,99,99,999,1,5,8,6,10,10,10,10,10,8,10,10,4,5,2,.915535
6,807,68,5,1,1,3,4,99,1,1,2,3,4,5,99,10,8,5,1,2,1,3,99,1,3,99,99,99,1,1,2,99,99,999,2,7,10,8,10,10,8,8,10,7,10,8,4,7,1,.999299
2,106,50,7,1,97,99,99,99,1,4,99,99,99,99,99,0,0,0,97,99,97,99,99,1,3,4,5,99,2,1,1,98,99,998,1,0,0,0,0,0,0,0,0,0,0,0,4,3,1,.720516
6,813,30,10,2,99,99,99,99,1,2,99,99,99,99,99,7,6,7,1,2,2,3,99,1,3,99,99,99,1,1,2,99,99,999,2,6,6,7,5,6,6,7,7,6,6,7,4,8,1,.930077
1,231,71,5,1,1,4,99,99,1,2,4,99,99,99,99,9,9,9,2,99,97,99,99,1,99,99,99,99,1,2,2,99,99,999,2,7,7,8,5,8,6,7,6,6,7,8,4,7,2,.910654
4,402,60,6,1,3,99,99,99,1,4,3,99,99,99,99,7,10,8,2,99,2,3,99,1,3,99,99,99,1,2,2,99,99,999,2,98,98,98,98,7,98,98,98,98,98,7,4,6,2,.97161
1,249,84,3,1,97,99,99,99,1,4,99,99,99,99,99,5,7,5,1,99,97,99,99,1,99,99,99,99,1,2,2,99,99,999,2,7,7,5,5,8,6,6,5,7,7,6,4,7,2,1.178582
6,827,94,2,1,3,4,99,99,1,4,3,2,1,5,99,10,10,10,2,99,97,99,99,1,3,99,99,99,1,1,2,99,99,999,2,10,10,8,10,10,5,5,5,9,0,10,4,5,1,1.401689
3,335,85,3,1,1,2,3,4,1,4,96,2,99,99,99,10,10,10,1,2,3,99,99,1,99,99,99,99,1,1,1,1,99,10,1,6,10,6,5,8,10,10,8,7,10,10,98,7,2,1.317725
1,247,85,3,1,4,99,99,99,1,1,2,4,99,99,99,5,9,8,1,2,1,2,3,1,3,99,99,99,1,1,1,2,99,52,2,5,7,8,5,9,6,7,9,5,6,9,4,7,2,1.275494
3,330,75,4,1,4,99,99,99,1,4,1,99,99,99,99,8,6,9,1,2,1,3,99,1,3,99,99,99,1,1,2,99,99,999,2,8,9,9,8,10,9,8,9,10,8,9,4,5,1,1.101092
1,247,71,5,1,97,99,99,99,1,4,2,99,99,99,99,8,7,6,1,2,1,3,99,1,3,99,99,99,1,1,2,99,99,999,2,5,7,9,9,7,9,9,9,8,8,9,4,6,1,.926989
1,231,47,8,1,97,99,99,99,1,4,1,99,99,99,99,9,8,8,1,2,1,99,99,1,3,99,99,99,1,1,2,99,99,999,1,98,5,98,3,3,6,4,5,2,3,3,4,5,1,.639839
11,557,58,6,1,1,99,99,99,1,4,1,2,99,99,99,0,8,6,2,99,97,99,99,1,2,3,99,99,1,2,2,99,99,999,2,8,8,8,8,8,8,9,8,9,8,8,4,6,2,1.154379
4,412,45,8,1,97,99,99,99,1,4,99,99,99,99,99,0,1,6,1,2,1,2,99,1,2,3,99,99,1,1,2,99,99,999,2,6,98,5,98,7,3,4,5,6,5,4,4,5,2,.69681
1,241,998,7,1,1,2,4,99,1,4,99,99,99,99,99,2,9,8,2,99,3,99,99,1,3,99,99,99,1,2,2,99,99,999,2,7,0,6,4,8,9,8,9,5,6,8,4,4,2,.733265
2,111,47,8,1,97,99,99,99,1,1,4,99,99,99,99,7,7,8,1,2,1,2,3,1,3,99,99,99,1,1,2,99,99,999,2,7,7,8,8,8,7,8,8,8,8,8,2,5,2,.710555
8,308,60,6,1,97,99,99,99,1,4,3,2,99,99,99,6,8,7,1,99,97,99,99,1,3,99,99,99,1,98,2,99,99,999,2,3,5,5,3,2,2,5,2,3,6,2,4,6,2,.885854
10,508,40,9,1,1,99,99,99,1,4,3,99,99,99,99,3,3,98,97,99,3,99,99,1,3,5,99,99,1,98,2,99,99,999,2,6,8,8,8,8,8,8,8,7,98,98,4,5,1,.862945
2,116,54,6,1,97,99,99,99,1,4,99,99,99,99,99,7,9,8,1,2,1,2,3,1,99,99,99,99,1,1,2,99,99,999,2,7,8,8,8,8,8,8,8,7,8,7,4,6,2,.990933
4,404,90,3,1,97,99,99,99,1,4,1,2,99,99,99,8,9,9,1,2,1,2,3,1,5,99,99,99,1,1,2,99,99,999,2,10,8,10,5,6,6,10,9,8,7,10,4,8,2,1.207068
2,103,82,4,1,2,4,99,99,1,4,2,3,5,99,99,7,9,8,1,99,1,3,99,1,2,3,4,99,1,2,2,99,99,999,2,3,10,3,3,5,10,3,5,6,6,10,4,7,2,1.093423
2,114,74,4,1,1,2,3,4,1,2,4,99,99,99,99,10,10,10,2,99,97,99,99,1,3,99,99,99,1,2,2,99,99,999,1,8,6,10,10,10,10,10,8,6,10,10,4,7,2,1.010256
2,111,72,5,1,97,99,99,99,1,1,2,4,99,99,99,8,8,8,2,99,2,3,99,1,99,99,99,99,2,2,1,2,99,998,2,7,6,9,5,7,5,6,7,7,9,8,4,8,1,1.048005
18,201,48,8,1,1,2,4,99,1,2,4,3,99,99,99,4,10,6,1,2,2,3,99,1,3,99,99,99,1,1,2,99,99,999,2,5,10,6,6,10,6,10,10,5,5,10,2,6,2,.774101
18,205,68,5,1,4,99,99,99,1,4,1,99,99,99,99,5,8,8,1,2,1,3,99,1,3,5,99,99,1,1,2,99,99,999,2,5,8,8,10,10,5,7,10,10,10,8,4,5,1,1.054877
6,813,65,5,1,1,4,99,99,1,4,1,3,99,99,99,9,9,8,1,2,1,2,3,1,3,99,99,99,1,1,2,99,99,999,2,5,9,8,6,8,5,8,7,6,8,8,4,7,1,1.08167
1,220,82,4,1,1,3,4,99,1,2,4,99,99,99,99,10,10,8,2,99,2,3,99,1,3,99,99,99,1,1,2,99,99,999,2,2,7,8,2,5,4,6,8,2,8,8,4,7,1,.984658
17,880,52,7,1,97,99,99,99,1,4,99,99,99,99,99,5,7,6,97,99,97,99,99,2,3,99,99,99,1,2,2,99,99,999,2,5,98,98,98,7,6,5,7,8,6,7,4,3,2,.926192
1,242,69,5,1,1,2,99,99,1,1,2,3,4,5,99,9,5,7,1,2,1,2,3,2,3,4,5,99,1,1,2,99,99,999,2,10,0,98,5,10,10,0,0,8,7,5,2,8,1,.926989
10,503,78,4,1,3,4,99,99,1,4,1,3,96,99,99,9,9,8,2,99,2,3,99,2,99,99,99,99,1,1,2,99,99,999,2,7,9,9,8,9,8,7,8,7,9,9,4,7,1,1.224398
6,832,72,5,1,1,2,4,99,1,4,1,2,99,99,99,10,10,10,1,2,1,2,99,2,99,99,99,99,1,2,2,99,99,999,2,8,8,5,5,5,3,1,10,8,6,10,4,6,2,1.062546
4,428,61,6,1,97,99,99,99,1,1,2,3,4,99,99,8,10,10,1,2,1,2,99,2,5,99,99,99,1,1,2,99,99,999,2,7,7,8,7,8,7,9,8,8,7,8,4,5,2,.97161
3,320,63,6,1,97,99,99,99,1,2,3,4,99,99,99,8,10,10,1,2,97,99,99,2,3,99,99,99,1,1,2,99,99,999,2,6,10,10,10,10,10,8,10,10,10,10,4,8,2,1.060953
13,603,60,6,1,2,4,99,99,1,4,3,99,99,99,99,7,7,6,1,2,97,99,99,2,3,4,5,99,1,2,2,99,99,999,2,6,6,6,6,7,6,6,7,7,7,7,4,7,1,1.041032
19,317,69,5,1,4,99,99,99,1,1,2,3,4,99,99,10,10,9,2,99,2,3,99,2,3,99,99,99,1,2,2,99,99,999,1,3,9,9,8,9,9,9,6,3,10,10,4,8,2,.848503
13,621,56,6,1,97,99,99,99,1,4,99,99,99,99,99,8,8,8,2,99,97,99,99,2,3,99,99,99,1,1,2,99,99,999,2,98,98,98,98,5,5,98,98,98,98,98,4,5,1,1.041032
16,970,81,4,1,1,4,99,99,1,4,1,2,99,99,99,9,9,9,1,2,1,2,99,2,99,99,99,99,1,2,2,99,99,999,2,5,7,7,6,8,8,7,8,7,8,7,2,6,1,1.390334
20,600,79,4,1,97,99,99,99,1,4,2,99,99,99,99,8,8,8,1,99,3,99,99,2,3,99,99,99,1,2,2,99,99,999,2,10,9,8,9,9,8,10,8,8,10,8,4,8,2,.724998
4,406,59,6,1,2,99,99,99,1,4,2,99,99,99,99,6,5,6,1,2,1,2,3,2,99,99,99,99,1,1,2,99,99,999,2,3,1,3,2,3,4,4,5,3,3,2,4,6,1,.98924
10,505,55,6,1,97,99,99,99,1,4,1,99,99,99,99,6,7,7,1,2,1,2,3,2,99,99,99,99,1,2,2,99,99,999,2,5,7,7,7,8,7,8,8,7,8,8,4,5,2,1.089837
2,110,998,5,1,97,99,99,99,1,4,3,2,99,99,99,8,0,5,1,2,1,3,99,2,3,5,99,99,1,1,1,2,99,16,2,5,5,3,4,5,5,6,5,5,5,5,4,7,1,1.048005
